 planet |  satellite | code |         GM | GM_uncertainty | GM_ref |  radius | radius_uncertainty | radius_ref | density | density_uncertainty | density_ref
 Saturn |   Hyperion |  607 |    0.37049 |        0.00005 | SAT441 |   135.0 |                4.0 |          1 |  0.5386 |        0.0479 |           *
 Saturn |    Iapetus |  608 |  120.51511 |        0.00242 | SAT441 |   734.3 |                2.8 |          1 |  1.0887 |        0.0125 |           *
 Saturn |     Phoebe |  609 |    0.55479 |        0.00108 | SAT441 |   106.5 |                0.7 |          1 |  1.6428 |        0.0326 |           *
 Saturn |      Janus |  610 |    0.12662 |        0.00007 | SAT415 |    89.2 |                0.8 |          1 |  0.6381 |        0.0172 |           *
 Saturn | Epimetheus |  611 |    0.03514 |        0.00002 | SAT415 |    58.2 |                1.2 |          1 |  0.6375 |        0.0394 |           *
 Saturn |     Helene |  612 |    0.00048 |        0.00002 | SAT441 |    18.0 |                0.4 |          1 |  0.2918 |        0.0217 |           *
 Saturn |      Atlas |  615 |    0.00037 |        0.00001 | SAT415 |    15.1 |                0.8 |          1 |  0.3850 |        0.0613 |           *
 Saturn | Prometheus |  616 |    0.01071 |        0.00001 | SAT415 |    43.1 |                1.2 |          1 |  0.4784 |        0.0400 |           *
 Saturn |    Pandora |  617 |    0.00926 |        0.00002 | SAT415 |    40.6 |                1.5 |          1 |  0.4948 |        0.0549 |           *
 Saturn |        Pan |  618 |    0.00028 |        0.00014 | SAT415 |    14.0 |                1.2 |          1 |  0.3650 |        0.2052 |           *
 Uranus |      Ariel |  701 |       83.5 |            1.4 | URA111 |   578.9 |                0.6 |          1 |   1.539 |         0.026 |           *
 Uranus |    Umbriel |  702 |       85.1 |            1.9 | URA111 |   584.7 |                2.8 |          1 |   1.523 |         0.041 |           *
 Uranus |    Titania |  703 |      226.9 |            4.1 | URA111 |   788.9 |                1.8 |          1 |   1.653 |         0.032 |           *
 Uranus |     Oberon |  704 |      205.3 |            5.8 | URA111 |   761.4 |                2.6 |          1 |   1.664 |         0.050 |           *
 Uranus |    Miranda |  705 |        4.3 |            0.2 | URA111 |   235.8 |                0.7 |          1 |   1.178 |         0.053 |           *
Neptune |     Triton |  801 | 1428.49546 |        0.61603 | NEP097 |  1352.6 |                2.4 |          1 |  2.0649 |        0.0110 |           *
Neptune |     Nereid |  802 |    0.00000 |        0.00000 | NEP101 |   170.0 |               25.0 |          1 |     nan |           nan |         nan
Neptune |      Naiad |  803 |    0.00853 |        0.00480 | NEP097 |    29.0 |                6.0 |          1 |  1.2511 |        1.0478 |           *
Neptune |   Thalassa |  804 |    0.02359 |        0.00522 | NEP097 |    40.0 |                8.0 |          1 |  1.3184 |        0.8432 |           *
Neptune |    Despina |  805 |    0.11673 |        0.25263 | NEP097 |    74.0 |               10.0 |          1 |  1.0304 |        2.2689 |           *
Neptune |    Galatea |  806 |    0.18990 |        0.76278 | NEP097 |    79.0 |               12.0 |          1 |  1.3777 |        5.5695 |           *
Neptune |    Larissa |  807 |    0.25484 |        3.12230 | NEP097 |    96.0 |                7.0 |          1 |  1.0303 |        12.626 |           *
Neptune |    Proteus |  808 |    2.58342 |        2.42070 | NEP097 |   208.0 |                8.0 |          1 |  1.0269 |        0.9695 |           *
  Pluto |     Charon |  901 |      106.1 |            0.3 | PLU060 |   606.0 |                0.5 |          2 |   1.853 |         0.004 |           *
  Pluto |        Nix |  902 |     0.0015 |         0.0005 | PLU060 |    18.0 |                1.0 |          3 |    0.88 |          0.31 |           *
  Pluto |      Hydra |  903 |     0.0020 |         0.0003 | PLU060 |    18.5 |                1.0 |          3 |    1.21 |          0.19 |           *
  Pluto |   Kerberos |  904 |        nan |            nan | PLU060 |     6.0 |                1.0 |          3 |     nan |           nan |         nan
  Pluto |       Styx |  905 |        nan |            nan | PLU060 |     5.2 |                1.0 |          3 |     nan |           nan |         nan
